ip,country,city,isp,is_proxy
139.196.216.232,China,Shanghai,Hangzhou Alibaba Advertising Co,False
34.95.113.255,United States,Kansas City,Google LLC,False
10.0.0.211,Unknown,Unknown,Unknown,False
194.180.48.117,Germany,Berngau,MEVSPACE sp. z o.o.,False
109.205.211.217,The Netherlands,Amsterdam,MEVSPACE sp. z o.o.,False
179.108.45.156,Brazil,Retiro,GD NET SOLUTION,False
143.110.209.105,Canada,Toronto,"DigitalOcean, LLC",False
129.212.181.201,United States,Douglasville,"DigitalOcean, LLC",False
64.23.184.226,United States,Santa Clara,"DigitalOcean, LLC",False
165.232.51.49,United States,Santa Clara,"DigitalOcean, LLC",False
162.243.104.177,United States,Secaucus,"DigitalOcean, LLC",False
23.94.26.58,United States,Buffalo,HostPapa,False
95.44.192.212,Ireland,Dublin,Eircom Limited,False
179.108.45.187,Brazil,Retiro,GD NET SOLUTION,False
202.148.29.186,Indonesia,Jakarta,PT. Core Mediatech,False
198.12.68.114,United States,Buffalo,HostPapa,False
179.108.47.111,Brazil,Ribeirão das Neves,GD NET SOLUTION,False
198.23.190.58,United States,Buffalo,HostPapa,False
61.133.51.154,China,Jinan,CNC Group CHINA169 Shandong Province Network,False
179.108.45.19,Brazil,Retiro,GD NET SOLUTION,False
